date,value
5-8-2021,35775
5-7-2021,36074
5-6-2021,36432
5-5-2021,39780
5-4-2021,37633
5-3-2021,38321
5-2-2021,38196
5-1-2021,38332
4-30-2021,38559
4-29-2021,39928
4-28-2021,39095
4-27-2021,38128
4-26-2021,40140
4-25-2021,39539
4-24-2021,39794
4-23-2021,39597
4-22-2021,40647
4-21-2021,41435
4-20-2021,41300
4-19-2021,40665
4-18-2021,40295
4-17-2021,40356
4-16-2021,40404
4-15-2021,39896
4-14-2021,41245
4-13-2021,39536
4-12-2021,39850
4-11-2021,43147
4-10-2021,42459
4-9-2021,42808
4-8-2021,43573
4-7-2021,43905
4-6-2021,45707
4-5-2021,46304
4-4-2021,46391
4-3-2021,46208
4-2-2021,46175
4-1-2021,45760
3-31-2021,47232
3-30-2021,47470
3-29-2021,47944
3-28-2021,46105
3-27-2021,44608
3-26-2021,44600
3-25-2021,43914
3-24-2021,42350
3-23-2021,42611
